Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",65092.58862858736,195991.44516383315,220425.65538676595,130898.8565352458,72.0,"[67481.4064, 95172.1411, 95264.5281, 526047.7051]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",79403.72239498656,200382.98652470118,229622.41075734427,120979.26412971462,76.5,"[69006.8796, 84794.1686, 103566.7186, 544164.1793]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",46112.38417282306,79972.01531831129,11995.918094680375,33859.63114548822,226.25,"[63193.8936, 91677.5691, 82111.2332, 82905.3654]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",52032.95716758087,85782.25235257453,11528.405593234816,33749.295184993665,189.75,"[75240.2865, 85989.0748, 101769.4588, 80130.1894]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",62555.940599270034,81583.82345107925,11124.743488303699,19027.88285180922,94.5,"[76582.8113, 91052.6922, 90454.6078, 68245.1825]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",78162.05388421714,108311.06834426965,46343.29618960117,30149.01446005251,130.0,"[73506.3583, 174685.7726, 105328.4507, 79723.6918]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",104446.72346279563,133191.12310915848,47348.271024325055,28744.399646362843,121.5,"[101871.6654, 200435.1749, 132223.1949, 98234.4572]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",70246.70348568715,105635.83079536671,18215.24515689887,35389.12730967956,161.25,"[112346.9359, 85073.3808, 127251.6753, 97871.3313]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",74211.57753808031,101215.71828185173,22582.988254077063,27004.140743771422,81.25,"[97105.1602, 95324.0436, 132940.8241, 79492.8452]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",71605.35288801685,86835.85833501234,5977.484372722205,15230.505446995492,95.25,"[90916.0202, 80368.8821, 92818.4729, 83240.0581]"
